mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.9435808047650003,2.4977863388417916,-2.5896147999999997,3.856476353578889,-5.5331836775,5.093095796776513,-7.443122000000001,7.5117273832401095,1.0932725034309998,5.76602408242492,0.16226257500000002,5.854574563302351,hand_wash
-3.5056799184735,3.300453848425508,-3.1159204000000003,4.80919144122452,-7.745062057499999,2.499621537713609,-7.6065821499999995,8.136513600257107,-4.171219902744,4.676219648391135,-4.267925,6.257537097456712,hand_wash
-3.6086657583735002,2.639054597542574,-3.5230737999999997,4.466794676121115,-6.818393080999999,2.2534562838611905,-6.5419956500000005,7.1793564547378335,-5.863864008675,3.4706529112539175,-5.686973999999999,6.809559867163028,hand_wash
-3.8165833755,1.5913751188928404,-3.7595819500000003,4.1335361444323935,-6.223170825499999,1.3346587148734117,-6.21447675,6.363981649809808,-6.2785496685,2.5022221911929474,-5.7552318,6.756478095461377,hand_wash
-3.6830071312665003,2.1399028944137686,-3.79790225,4.256856822174399,-7.002605969,2.0825045974174032,-6.8515523,7.304220124581934,-5.2001083369000005,3.8758613850172803,-5.58458675,6.47983924831362,hand_wash
-3.429224881523,2.9984474614416547,-3.6464173,4.550309553336697,-8.0380268225,2.356118438488706,-7.96942755,8.374569411315125,-3.39582636137,4.750636053808032,-4.204457,5.829865939945571,hand_wash
-3.4516422772814996,3.134374411066988,-3.63623845,4.657146749279518,-8.160645871,2.2471226157789106,-8.194559,8.462886817272382,-3.0569011515700004,4.625679552573703,-2.8979735499999997,5.534850622821988,hand_wash
-3.22753431039,3.1336190475683643,-3.2476464,4.493044426483172,-8.074724523999999,1.9283859309255462,-8.044272,8.300677988910644,-3.22025346033,4.579503137541456,-2.8979735499999997,5.589009043702257,hand_wash
-3.1343560579150007,2.8000999089248886,-3.026706,4.198278766381507,-7.7054783551499995,3.2176353049003006,-7.55389175,8.347203588762484,-1.7621655650849999,5.487323794010029,-1.99205745,5.750251845526282,hand_wash
-3.2910502061,2.5134485846348857,-3.1704070499999997,4.137251276842627,-7.86714218865,3.328163507293649,-7.72753065,8.538923537897588,-1.49436045941,5.452413688205737,-1.5232324,5.640326598242755,hand_wash
-3.4596895273999997,3.2729732564619214,-3.4404456000000003,4.756915365426278,-8.03955964091,2.363731355801299,-7.98379755,8.378174563264672,-3.657284647505,4.917573180430962,-3.85298765,6.118606405697721,hand_wash
-3.3510394725,3.1988744662173088,-3.2051349,4.627212920065065,-7.58685305541,2.4580117234676053,-7.3760613500000005,7.973202105109635,-4.805007946450001,4.522765030765337,-5.232519,6.590995969604583,hand_wash
-2.9779912387499996,2.540743074667512,-2.76684635,3.9104386343075794,-7.630430441000001,2.8076911081017792,-7.48383725,8.128172145486381,-2.16163684209,5.152830723944393,-2.2567072,5.5759824232468675,hand_wash
-3.36290680045,3.1722798732372213,-3.17519715,4.617595147334605,-8.21193520115,3.415304853775988,-8.259823,8.890549221273744,-1.6026752280550003,5.181170169973187,-1.8711090000000001,5.410995249969273,hand_wash
-3.2957504525499997,3.625979559298781,-3.1841785,4.893256601805576,-7.898451124850001,3.5630078241858656,-7.6377175,8.661240084599774,-4.054235175815,4.806731229192256,-4.003874,6.279009845903995,hand_wash
