mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.3682791443299998,1.003529865544329,-2.5273445,2.5701648924918143,-2.856036857,5.789892940860299,1.20170105,6.429974976039963,4.9943820820000004,3.667481507487028,6.56055715,6.18544814727958,hand_wash
-3.5188824652,3.296238804378662,-3.0781988,4.810308946089511,-8.210330498000001,2.0345479435728535,-8.341853,8.456211821361766,-2.8078370751380004,4.7575956081870086,-2.18365905,5.503845732926154,hand_wash
-3.4924773717470003,3.321216505813133,-3.2692015999999997,4.8080736766261785,-7.279793616999999,2.8253530503418633,-6.93298265,7.803729157691164,-5.534602730350001,4.191067439238998,-5.7390655,6.929734713554662,hand_wash
-3.7248541449999992,1.7151724817875966,-3.6530035,4.097186458703374,-6.356992545,1.3396725156087692,-6.24082205,6.495238982652781,-6.193125287,2.535443130283219,-5.48100215,6.68722573035412,hand_wash
-3.908312606000001,1.46003936955956,-3.8517902,4.16956895101589,-6.089349105999999,1.3227698600830122,-6.212680499999999,6.229959505202228,-6.3639740499999995,2.47835861924196,-5.9174945,6.8250278050853845,hand_wash
-3.4577016565329997,2.6401434813547597,-3.7308418000000003,4.3423904444107375,-7.915862832,2.298436764586934,-7.88979285,8.239591483819806,-4.0362426238,4.617093220596645,-4.44096485,6.115196548581461,hand_wash
-3.400748106513,3.331695295511629,-3.6057019500000003,4.749134583338814,-8.160190812999998,2.4177883969422074,-8.194559,8.507406057643779,-2.75541009894,4.818604529369091,-2.71954465,5.529832269399525,hand_wash
-3.5025364480500003,2.9397984587118526,-3.8517900000000003,4.563304986299387,-8.161100929,2.074710728520237,-8.244855000000001,8.41813214046271,-3.3583922042,4.428021391481351,-3.43625425,5.5398644303099704,hand_wash
-2.95253217273,3.30804006908916,-2.52854195,4.421667563116674,-7.9883481189999985,1.7763473323084074,-7.89637915,8.181537839360033,-3.0821147164599996,4.7444294980703345,-2.80396905,5.6377252748744,hand_wash
-3.3161799431000003,2.1795411774510765,-3.1260991999999996,3.9623156312668346,-7.422608591300001,4.1825679352894065,-7.1401520000000005,8.509644768591611,-0.4422164137100001,5.873351128377806,0.55983583,5.86061825228356,hand_wash
