mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-6.0591479443,3.54655564301397,-4.90455694752,4.53325977354308,-3.363182177000001,7.166952771731883,hand_wash
-5.1299761539999995,1.9747181474846842,-4.76350224775,2.5303622066159277,-5.8313815690999995,5.645773016827209,hand_wash
-4.7067522660000005,1.4319162725956498,-3.7369968993999994,2.5019666786464323,-8.020501279160001,2.790993760434674,hand_wash
-5.635612677,2.558884616618403,-5.1712423175,3.6188526521706814,-5.961886216,5.995589478155393,hand_wash
-5.7522980478,2.9372824537289604,-4.926866538,2.704387883790179,-6.722233021972,5.2426704125935855,hand_wash
-5.064077218000001,1.9589606029991313,-5.0672027069,3.116217943441768,-5.520172753,4.519430322032215,hand_wash
-4.37411997215,2.0866558192615012,-2.6778593721,2.501276873955983,-8.320249945,2.7650802560183636,hand_wash
-4.963953415199999,3.0287905897417153,-4.97162944051,3.054974012325428,-6.956334195900002,6.551375362558584,hand_wash
-4.650122055,2.981228067215926,-4.8377119554400005,3.6745793031470204,-6.5147165905,5.209263697853141,hand_wash
-4.9816765414,2.2287987037447263,-6.15320034275,3.000500793983945,-4.907586567194,4.968033342285644,hand_wash
-4.2099653172,2.8164181562042487,-1.8705221932999998,5.609443408558641,-8.95380447,4.5035417915217035,hand_wash
-3.7243152223599996,3.275909207488775,-2.8688501459999998,5.288366944954156,-7.683390316,4.693123976313122,hand_wash
-5.559702545,1.6258827348509637,-6.625510165059999,3.8053540933715904,0.06573131136699996,3.9546303395554783,hand_wash
-4.769597547,1.697012840053643,-4.312615883,3.7723212793675103,-7.774077714629999,3.307723339691064,hand_wash
-4.824934514000001,1.2315289769273863,-5.954281978800001,3.485959651239313,-4.14683267538,4.9500918373096745,hand_wash
-4.505079665999999,1.3774886304401954,-3.13352379805,3.056270584090817,-8.594683241,2.680301303910519,hand_wash
-5.137017524649999,2.111931060876172,-5.798402132199999,3.0382517813982246,-5.7678057775100005,5.3249320057114,hand_wash
-4.0372724426,1.9920229795445221,-4.129109496999999,3.4314846072843803,-7.732524151500001,4.469929588725072,hand_wash
-4.747491567,1.5236017985446586,-4.86966148213,3.6240613575374123,-5.074794949300001,5.152787143132527,hand_wash
-4.6409491240000005,1.5060254111526723,-5.95646146824,2.934848535969729,-4.9676058223999995,4.877397737449664,hand_wash
-4.6960944300000005,1.81410089752346,-4.7566764349,2.3511578584642607,-6.299703708300001,4.93260531318516,hand_wash
-5.045048779599999,2.145132010516182,-5.601208230499999,4.028395922344592,-6.616253479099999,5.575011667709565,hand_wash
-4.3092269316,3.524081539414075,-3.663409893900001,3.846000231281696,-7.756294678969998,5.52543857813628,hand_wash
-5.096170461,1.7427501085142343,-5.860540942600002,4.022223581494046,-3.7590070868070007,5.241201558969757,hand_wash
-4.5023014228000005,1.903825539006084,-3.1118129526550002,3.542391948145337,-8.314561822500002,3.3902130632662604,hand_wash
-5.135592487,1.7550667419330481,-5.4126483703999995,3.9367448364615227,-3.797926165500001,5.06810900496672,hand_wash
-4.763274704,1.365736131059628,-3.3798515457600002,2.666689545791445,-7.966745078600002,2.20613413224098,hand_wash
-5.137759983,1.3777225177074799,-5.095823202399999,3.7131740355439518,-4.69805834666,4.996695976312714,hand_wash
-6.163091803999999,1.233779557523662,-3.76924581892,2.6861344333275405,-0.79005707126,5.5938583428783595,hand_wash
-6.077170447999999,0.8105318718051135,-2.4020129906,3.2178722808386584,4.1120689195999995,3.3024640512252965,hand_wash
-5.4749906805,2.859370143062704,-5.0990564641,5.819576351928473,-7.0229277347000005,5.705884912854621,hand_wash
