mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-3.1265463270923335,2.8056629549952756,-6.115386990666666,4.5373371586908,-1.1160192411626668,6.143131493527552,hand_wash
-3.5787379939823327,2.8696010598330277,-7.28237222,2.2764609865945986,-4.8451883641626665,4.194477104875948,hand_wash
-3.7085480409156664,2.315415034575061,-6.575378422666666,2.019297324803823,-6.030567355783334,3.179048668790185,hand_wash
-3.696956135844333,2.0055227156468276,-6.7874014943333325,1.8903854221715628,-5.531113986933333,3.513754889077015,hand_wash
-3.588920789682,2.5962979816081835,-7.388467583666667,2.2628940375768885,-4.385208924246666,4.361027860791984,hand_wash
-3.4536620703653336,2.9743070001166214,-8.079051524666667,2.26346242077689,-3.38334830898,4.638202364919499,hand_wash
-3.2852722424309997,3.196472481238134,-8.103213286999999,2.100507285198592,-3.0653056732,4.657672222750797,hand_wash
-3.257082854626667,2.8478164746291266,-7.857352546433334,2.891724851371761,-2.294241111456667,5.205806625744087,hand_wash
-3.1782108616433336,2.8023978893254986,-7.9075441654333325,2.9017482681009734,-2.023611878426667,5.272681517183168,hand_wash
-3.4118529993,2.9507784859634216,-7.8339092910399994,3.097699425340142,-2.5855952362399997,5.460886363232316,hand_wash
-3.3226664713666665,3.0730031975040633,-7.828460632273333,2.36345449577022,-4.052173466003333,4.730243133944801,hand_wash
-3.2031470210666666,2.9784816115338115,-7.676101459273335,2.7335403284620994,-3.030446158026667,5.179949604732209,hand_wash
-3.2581446534,2.9992926960631365,-7.943377672433333,3.1122073943845305,-2.6824338530366667,5.11600786568112,hand_wash
-3.1662876744333333,3.2865076224898955,-7.883833505566666,3.4474250170326406,-2.529930977603333,5.190225827715756,hand_wash
-3.2672297633000005,3.230200472334853,-7.723003956323334,3.5159889488152083,-2.4527594754433335,5.534110839275942,hand_wash
-3.3066717472400002,3.1680748309572864,-7.664545516556666,3.3541459166966257,-2.4480891788666668,5.4069464896843975,hand_wash
-3.4706587364710004,2.9471897158206484,-7.913695386756667,2.9592419881755916,-2.1933349386666663,5.1840538386727735,hand_wash
-3.4844181186043337,2.825161765192237,-7.978237171666667,2.4048987620087323,-3.7676650903333333,4.0609076274201845,hand_wash
-3.049777959131,2.2662696730112932,-7.826472767666666,2.0001603068201623,-3.388401764683333,4.1690460263443985,hand_wash
-2.963082241895667,2.0469580843344035,-7.868836674596667,2.4894445873972657,-1.8867963839966668,4.720071185761929,hand_wash
-2.8445846656623335,2.4631095876886264,-8.113827225263334,2.5254293089555673,-1.5147301038966667,5.034241494972962,hand_wash
