mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,label
-12.315358109999998,6.614864488788539,-13.081597,13.96377145546747,-4.0388173663,18.03946995458864,-6.0001228,18.397834035516453,-2.4380340486600005,8.581213190100682,-0.74125855,8.87946268860024,active
-20.453682339,6.54235455926342,-22.0539385,21.4645638290659,-12.954097843700001,18.687659144220984,-14.596446499999999,22.661530601259773,-1.0517009364,11.540033182785805,-5.2013835,11.530252254865205,active
-19.035052426,6.47003390761911,-19.351159,20.09417692364263,-14.041305103,18.330446909043026,-14.201268,23.01746032997399,-3.2024524718000005,7.880826829138979,-5.2576666,8.47006841943475,active
-18.400420176999997,6.194470853188794,-20.643272500000002,19.40523684858405,-13.744705968599998,17.363449852279906,-14.4443625,22.076943607034494,-3.4047358396000003,7.070296516780682,-4.778662499999999,7.815460833777221,active
-20.095483291,7.351594390192762,-23.364613,21.385367178891148,-11.582913505899997,19.247095703889922,-12.155323,22.381020338436574,-4.691579791500001,6.645575449037867,-6.51026165,8.10758640153637,active
-19.666559189,7.716558962181221,-23.373593999999997,21.112161891409684,-11.6607395564,18.821702089179304,-14.491066,22.060978034544846,-3.7921541904000002,7.18115371975195,-5.134323,8.089110733758593,active
-19.548556501,6.993938771970349,-21.32226,20.75023105951832,-12.850453502700002,18.57705965676219,-12.819941,22.512001893679894,-2.8769693282000004,6.632237612372934,-4.73375615,7.198865362326764,active
-19.550508464999997,6.038306751261059,-20.9456435,20.45284621215684,-13.881054303200003,18.758601015685983,-14.303056,23.260479993186415,-5.561402992800001,6.162334609430895,-6.3114753,8.277912019859157,active
-20.132270727,6.891212670929966,-23.2292945,21.267868924282165,-12.751239914000001,19.50494340564419,-13.2193105,23.221380416099205,-3.6043966140000006,6.497875563204094,-5.1445019,7.402150898053265,active
-19.087251835,6.733233732939266,-21.8641325,20.228847093941816,-11.9166592385,19.405669240329566,-15.05808625,22.689666504489434,-4.5089356151599995,5.153528956561768,-5.28520945,6.828160255934076,active
-18.638305430000003,6.323031425964049,-19.7960345,19.671485669657976,-11.8642204132,19.173078056010354,-14.007272,22.465319470985463,-4.2509321649,5.506371342849817,-5.0876202,6.934504191525558,active
-18.974266869,6.9044767760413865,-20.045715,20.17964035287589,-10.0854154293,20.639790727203646,-12.110416,22.87917297525626,-3.8035904018,5.91324790840296,-4.66130685,7.006007119796179,active
-18.012522735,5.910949216948794,-18.562,18.948374672192493,-9.3409953102,19.47255742416549,-14.945521,21.509134829095913,-2.7935627652,7.588642383525436,-2.83989445,8.050814320048632,active
-18.363632594499997,5.687200684644296,-18.9925045,19.215717815812322,-12.6113707454,18.758807443297464,-13.6240685,22.525998317626147,-4.058683940720001,6.145923238173983,-4.60143135,7.339452571935466,active
-18.269424526,7.257029633266037,-18.775755,19.644584669020894,-9.333283520300002,19.704950704015204,-13.49833,21.71433657046644,-2.3141157626,8.42574639936756,-4.11105105,8.697034099352756,active
-19.889176325,7.660950226474991,-20.837269,21.29982609496478,-11.4435592013,19.656390893798775,-15.444882,22.659766396275476,-3.6766782876000006,6.594200257202506,-5.120551750000001,7.52107741565515,active
-17.474194204,6.349472734018919,-19.154767,18.581176201714367,-8.9859338462,19.604083703573096,-12.2145995,21.476124044305944,-3.9335321828,5.185171263403719,-4.9900231999999995,6.48766648754718,active
-17.270306211999998,6.143462620687269,-18.4374595,18.32015797689282,-10.085415318699999,16.67070138203024,-14.5455525,19.412592919901385,-4.234765798166999,4.049250755474399,-3.87813535,5.845144029810377,active
-15.168712520000003,6.291916259635111,-15.41973425,16.409819244296475,-8.3912025444,19.020670489352852,-10.904524,20.70218169534405,-4.7190387095999995,4.1586645323987295,-5.6139257,6.276214793074251,active
-16.858111358000002,6.671987132021401,-17.092056999999997,18.118117361516596,-9.42167173795,19.249367307701508,-12.6385185,21.34480402034709,-4.532263169599999,5.333325903485704,-5.4067565,6.97863389062475,active
-15.141301424,6.897827524423595,-15.0832345,16.6241761637548,-9.790947913,20.018750448026307,-11.951147500000001,22.194718444720788,-5.6354330419,3.6666978520843365,-4.88045095,6.713295165329272,active
